id_esito;codice_fiscale_stazione_appaltante;denominazione_stazione_appaltante;nr_lotto;tipo_bando;tipo_settore;oggetto_x;cpv;categoria;rup;cup;cig;data_pubb_esito_scp;luogo_esecuzione;imp_lavori;imp_contrattuale;ribasso_agg;tipo_procedura;asta_elettronica;forcella;appalto_riservato;data_pubb_esito_guue;data_pubb_guri;data_pubb_albo;url_profilo_comm;data_agg_def;termine_pres_dom_off;n_impr_rich;n_impr_inv;n_impr_off;n_impr_amm;criterio_aggiudicazione;data_pres_fine;note_agg;tipo_evento;motivazione;aggiudicatario;url;cfStrutturaProponente;denominazioneStrutturaProponente;oggetto_y;sceltaContraente;importoAggiudicazione;importoSommeLiquidate;dataInizio;dataUltimazione;jsonPartecipanti;jsonAggiudicatari;totalePartecipanti;totaleAggiudicatari;totaleRaggruppamentopartecipanti;totaleRaggruppamentoAggiudicatari;cfPrimoaggiudicatario;denominazionePrimoaggiudicatario
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N. 63/2009- INTERVENTI DI ORDINARIA MANUTENZIONE DEGLI EDIFICI SCOLASTICI DI OGNI GENERE SITI NELLE CIRCORSCRIZIONI 1-10 E SOGGIORNI LIGURI.;45400000-1;OG1 - Edifici civili e industriali;PONCINI PIERLUIGI;C15D09000000004;;2009-08-02;;;;;Procedura aperta;No;No;No;;2009-06-09;2009-06-09;www.comune.torino.it/appalti;2009-07-28;2009-07-06;;;;;Prezzo più basso;2010-07-30;LOTTO N. 9;Gara aggiudicata;;CIERRE IMPIANTI SRL;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=17923&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - FORNITURE E SERVIZI;;Servizi;Ordinario;Procedura Aperta n. 46/2009 - Affidamento del servizio di buvette presso la sala delle adunanze del Consiglio Comunale;55410000-7;Fornitura di servizi;GAMBULA Stefano;;;2009-08-09;TORINO;;;;Procedura aperta;No;No;No;;2009-06-02;;;2009-06-30;2009-06-29;;;;;Offerta economicamente più vantaggiosa;;;Gara aggiudicata;;COOPERATIVA SOCIALE LUCI NELLA CITTA Onlus;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18080&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N. 43/2009 -M.S. PER OTTENIMENTO CPI EDIFICIO SCOLASTICO IL LAGHETTO DI VIA VENTIMIGLIA 199;45453100-8;OG1 - Edifici civili e industriali;PONCINI PIERLUIGI;C31E03000180004;;2009-08-11;;;;;Procedura aperta;No;No;No;;2009-04-07;2009-04-07;www.comune.torino.it/appalti;2009-07-28;2009-05-04;;;;;Prezzo più basso;2010-07-28;;Gara aggiudicata;;PICCOLOMINI SNC;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18122&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N. 3/2009 - OPERE DI MESSA IN SICUREZZA E DEMOLIZIONI EDIFICI DEGRADATI ;45450000-6;OS23 - Demolizione di opere;BELTRAMINO Claudio;C11H07000000004;;2009-08-11;;;;;Procedura aperta;No;No;No;;2009-02-03;2009-02-03;www.comune.torino.it/appalti;2009-07-28;2009-03-02;;;;;Prezzo più basso;2010-07-24;;Gara aggiudicata;;CORBAT S.P.A.;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18127&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N.57/2009 - INTERVENTI STRAORDINARI SULLE PAVIMENTAZIONI DELLE VIE, STRADE E PIAZZE DELLA CITTA' - 12 LOTTI - BILANCIO 2008;45233140-2;OG3 - Strade, autostrade, ponti, viadotti, ferrovie, metropolitane, funicolari, piste aeroportuali e;BERTASIO ROBERTO;;;2009-08-11;;;;;Procedura aperta;No;No;No;;2009-05-03;2009-05-03;http://www.comune.torino.it/appalti;2009-07-21;2009-06-15;;;;;Prezzo più basso;2010-05-30;;Gara aggiudicata;;LADASFALT;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18141&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N.57/2009 - INTERVENTI STRAORDINARI SULLE PAVIMENTAZIONI DELLE VIE, STRADE E PIAZZE DELLA CITTA' - 12 LOTTI - BILANCIO 2008;45233140-2;OG3 - Strade, autostrade, ponti, viadotti, ferrovie, metropolitane, funicolari, piste aeroportuali e;BERTASIO ROBERTO;;;2009-08-11;;;;;Procedura aperta;No;No;No;;2009-05-03;2009-05-03;http://www.comune.torino.it/appalti;2009-07-21;2009-06-15;;;;;Prezzo più basso;2010-05-30;;Gara aggiudicata;;BITUX  SRL;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18142&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N.57/2009 - INTERVENTI STRAORDINARI SULLE PAVIMENTAZIONI DELLE VIE, STRADE E PIAZZE DELLA CITTA' - 12 LOTTI - BILANCIO 2008;45233140-2;OG3 - Strade, autostrade, ponti, viadotti, ferrovie, metropolitane, funicolari, piste aeroportuali e;BERTASIO ROBERTO;;;2009-08-11;;;;;Procedura aperta;No;No;No;;2009-05-03;2009-05-03;http://www.comune.torino.it/appalti;2009-07-21;2009-06-15;;;;;Prezzo più basso;2010-05-30;;Gara aggiudicata;;BRESCIANI BRUNO SRL;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18143&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N.57/2009 - INTERVENTI STRAORDINARI SULLE PAVIMENTAZIONI DELLE VIE, STRADE E PIAZZE DELLA CITTA' - 12 LOTTI - BILANCIO 2008;45233140-2;OG3 - Strade, autostrade, ponti, viadotti, ferrovie, metropolitane, funicolari, piste aeroportuali e;BERTASIO ROBERTO;;;2009-08-11;;;;;Procedura aperta;No;No;No;;2009-05-03;2009-05-03;http://www.comune.torino.it/appalti;2009-07-21;2009-06-15;;;;;Prezzo più basso;2010-05-30;;Gara aggiudicata;;DI PIETRANTONIO  SRL;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18144&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N.57/2009 - INTERVENTI STRAORDINARI SULLE PAVIMENTAZIONI DELLE VIE, STRADE E PIAZZE DELLA CITTA' - 12 LOTTI - BILANCIO 2008;45233140-2;OG3 - Strade, autostrade, ponti, viadotti, ferrovie, metropolitane, funicolari, piste aeroportuali e;BERTASIO ROBERTO;;;2009-08-11;;;;;Procedura aperta;No;No;No;;2009-05-03;2009-05-03;http://www.comune.torino.it/appalti;2009-07-21;2009-06-15;;;;;Prezzo più basso;2010-07-30;;Gara aggiudicata;;COMAS SRL;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18145&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N.57/2009 - INTERVENTI STRAORDINARI SULLE PAVIMENTAZIONI DELLE VIE, STRADE E PIAZZE DELLA CITTA' - 12 LOTTI - BILANCIO 2008;45233140-2;OG3 - Strade, autostrade, ponti, viadotti, ferrovie, metropolitane, funicolari, piste aeroportuali e;BERTASIO ROBERTO;;;2009-08-11;;;;;Procedura aperta;No;No;No;;2009-05-03;2009-05-03;http://www.comune.torino.it/appalti;2009-07-21;2009-06-15;;;;;Prezzo più basso;2010-07-30;;Gara aggiudicata;;SOVESA SRL;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18147&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N.57/2009 - INTERVENTI STRAORDINARI SULLE PAVIMENTAZIONI DELLE VIE, STRADE E PIAZZE DELLA CITTA' - 12 LOTTI - BILANCIO 2008;45233140-2;OG3 - Strade, autostrade, ponti, viadotti, ferrovie, metropolitane, funicolari, piste aeroportuali e;BERTASIO ROBERTO;;;2009-08-11;;;;;Procedura aperta;No;No;No;;2009-05-03;2009-05-03;http://www.comune.torino.it/appalti;2009-07-21;2009-06-15;;;;;Prezzo più basso;2010-07-30;;Gara aggiudicata;;TEKNO-GREEN SRL;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18148&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N.57/2009 - INTERVENTI STRAORDINARI SULLE PAVIMENTAZIONI DELLE VIE, STRADE E PIAZZE DELLA CITTA' - 12 LOTTI - BILANCIO 2008;45233140-2;OG3 - Strade, autostrade, ponti, viadotti, ferrovie, metropolitane, funicolari, piste aeroportuali e;BERTASIO ROBERTO;;;2009-08-11;;;;;Procedura aperta;No;No;No;;2009-05-03;2009-05-03;http://www.comune.torino.it/appalti;2009-07-21;2009-06-15;;;;;Prezzo più basso;2010-05-30;;Gara aggiudicata;;COBRE SRL;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18149&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N.57/2009 - INTERVENTI STRAORDINARI SULLE PAVIMENTAZIONI DELLE VIE, STRADE E PIAZZE DELLA CITTA' - 12 LOTTI - BILANCIO 2008;45233140-2;OG3 - Strade, autostrade, ponti, viadotti, ferrovie, metropolitane, funicolari, piste aeroportuali e;BERTASIO ROBERTO;;;2009-08-11;;;;;Procedura aperta;No;No;No;;2009-05-03;2009-05-03;http://www.comune.torino.it/appalti;2009-07-21;2009-06-15;;;;;Prezzo più basso;2010-05-30;;Gara aggiudicata;;I.C.F.A.  SRL;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18151&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N.57/2009 - INTERVENTI STRAORDINARI SULLE PAVIMENTAZIONI DELLE VIE, STRADE E PIAZZE DELLA CITTA' - 12 LOTTI - BILANCIO 2008;45233140-2;OG3 - Strade, autostrade, ponti, viadotti, ferrovie, metropolitane, funicolari, piste aeroportuali e;BERTASIO ROBERTO;;;2009-08-11;;;;;Procedura aperta;No;No;No;;2009-05-03;2009-05-03;http://www.comune.torino.it/appalti;2009-07-21;2009-06-15;;;;;Prezzo più basso;2010-05-30;;Gara aggiudicata;;FORESTO ARMANDO SPA;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18152&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - APPALTI LAVORI PUBBLICI;;Lavori;Ordinario;PROCEDURA APERTA N.57/2009 - INTERVENTI STRAORDINARI SULLE PAVIMENTAZIONI DELLE VIE, STRADE E PIAZZE DELLA CITTA' - 12 LOTTI - BILANCIO 2008;45233140-2;OG3 - Strade, autostrade, ponti, viadotti, ferrovie, metropolitane, funicolari, piste aeroportuali e;BERTASIO ROBERTO;;;2009-08-11;;;;;Procedura aperta;No;No;No;;2009-05-03;2009-05-03;http://www.comune.torino.it/appalti;2009-07-28;2009-06-15;;;;;Prezzo più basso;2010-07-30;;Gara aggiudicata;;SMALDONE COSTRUZIONI SRL;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18153&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - FORNITURE E SERVIZI;;Forniture;Ordinario;Procedura aperta n. 38/2009 per la fornitura triennale di carta a basso impatto ambientale per fotoriproduttori e stampanti laser per i Settori ed i Servizi dell'Amministrazione Comunale.;30197643-5;Fornitura di beni;Barbatano Monica;;;2009-08-12;TORINO;;;;Procedura aperta;No;No;No;2009-08-12;2009-05-21;;;2009-07-07;2009-07-06;;;;;Prezzo più basso;;;Gara aggiudicata;;OFFICE DEPOT ITALIA S.R.L.;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18190&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - FORNITURE E SERVIZI;;Servizi;Ordinario;Procedura aperta n. 42/2009 per le attività di fisioterapia ed infermieristiche per gli anziani ospiti della residenza comunale Buon Riposo.;85100000-0;Fornitura di servizi;Barbatano Monica;;;2009-08-17;TORINO;;;;Procedura aperta;No;No;No;;2009-06-18;;;2009-07-28;2009-07-06;;;;;Prezzo più basso;;;Gara aggiudicata;;GENERAL SERVICE SOC. COOP. SOCIALE;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18228&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - FORNITURE E SERVIZI;;Servizi;Ordinario;Procedura ristretta n. 34/2009 per il servizio di animazione e terapia occupazionale per gli anziani ospiti delle residenze comunali e del centro diurno di via P. D'Acaja.;85320000-8;Fornitura di servizi;Gambula Stefano;;;2009-08-19;TORINO;;;;Procedura ristretta;No;No;No;;2009-05-07;;;2009-07-14;2009-05-24;;;;;Offerta economicamente più vantaggiosa;;;Gara aggiudicata;;C.E.M.E.A. DEL PIEMONTE SOC. COOP.;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18263&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - FORNITURE E SERVIZI;;Servizi;Ordinario;Procedura ristretta n. 36/2009 - Affidamento del servizio di gestione triennale dei nidi d'infanzia di via Fontanesi, via Balbo, via Fossano e via Gioberti;85320000-8;Fornitura di servizi;GAMBULA Stefano;;;2009-09-01;TORINO;;;;Procedura ristretta;No;No;No;2009-08-18;2009-05-12;;;2009-07-21;2009-05-27;;;;;Offerta economicamente più vantaggiosa;;;Gara aggiudicata;;PRO.GES. SERVIZI INTEGRATI ALLA PERSONA COOP. SOC.;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18392&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - FORNITURE E SERVIZI;;Servizi;Ordinario;Procedura ristretta n. 36/2009 - Affidamento del servizio di gestione triennale dei nidi d'infanzia di via Fontanesi, via Balbo, via Fossano e via Gioberti;85320000-8;Fornitura di servizi;GAMBULA Stefano;;;2009-08-27;TORINO;;;;Procedura ristretta;No;No;No;2009-08-18;2009-05-12;;;2009-07-21;2009-05-27;;;;;Offerta economicamente più vantaggiosa;;LOTTI 1 e 3 - PRO.GES. SERVIZI INTEGRATI ALLA PERSONALOTTI 2 e 4 - CODESS SOCIALE SOC. COOP.;Gara aggiudicata;;PRO.GES. SERVIZI INTEGRATI ALLA PERSONA COOP. SOC.;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18393&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - FORNITURE E SERVIZI;;Servizi;Ordinario;Procedura aperta n. 44/2009 per la riparazione e manutenzione delle parti meccaniche, elettriche e di carrozzeria dei veicoli municipali e fornitura di ricambi per il triennio 2010/2011/2012.;50110000-9;Fornitura di servizi;Settimo Adele;;;2009-09-01;TORINO;;;;Procedura aperta;No;No;No;2009-02-01;2009-06-16;;;2009-07-28;2009-07-27;;;;;Prezzo più basso;;;Gara aggiudicata;;ALMA 2000 SRL;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18483&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - FORNITURE E SERVIZI;;Servizi;Ordinario;Procedura aperta n. 44/2009 per la riparazione e manutenzione delle parti meccaniche, elettriche e di carrozzeria dei veicoli municipali e fornitura di ricambi per il triennio 2010/2011/2012.;50110000-9;Fornitura di servizi;Settimo Adele;;;2009-09-01;TORINO;;;;Procedura aperta;No;No;No;2009-09-01;2009-06-16;;;2009-07-28;2009-07-27;;;;;Prezzo più basso;;;Gara aggiudicata;;DIONISI S.A.S.;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18484&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - FORNITURE E SERVIZI;;Servizi;Ordinario;Procedura aperta n. 44/2009 per la riparazione e manutenzione delle parti meccaniche, elettriche e di carrozzeria dei veicoli municipali e fornitura di ricambi per il triennio 2010/2011/2012.;50110000-9;Fornitura di servizi;Settimo Adele;;;2009-09-01;TORINO;;;;Procedura aperta;No;No;No;2009-09-01;2009-06-16;;;2009-07-28;2009-07-27;;;;;Prezzo più basso;;;Gara aggiudicata;;ALMA 2000 SRL;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18485&entita=ESITI;;;;;;;;;;;;;;;;
;00514490010;CITTA' DI TORINO - FORNITURE E SERVIZI;;Servizi;Ordinario;Procedura aperta n. 44/2009 per la riparazione e manutenzione delle parti meccaniche, elettriche e di carrozzeria dei veicoli municipali e fornitura di ricambi per il triennio 2010/2011/2012.;50110000-9;Fornitura di servizi;Settimo Adele;;;2009-09-01;TORINO;;;;Procedura aperta;No;No;No;2009-09-01;2009-06-16;;;2009-07-28;2009-07-27;;;;;Prezzo più basso;;;Gara aggiudicata;;CARROZZERIA POLIZIANO DI TAVERNESE SALVATORE;https://www.serviziocontrattipubblici.it/PubbAvvisiBandiEsiti/GetScheda.do?codice=18486&entita=ESITI;;;;;;;;;;;;;;;;
